index,label,atlas_name,label_dwi,index_dwi
101,RH-Pu,CIT168Subcortical,CIT168Subcortical_Pu_rh,1
102,RH-Ca,CIT168Subcortical,CIT168Subcortical_Ca_rh,2
103,RH-NAC,CIT168Subcortical,CIT168Subcortical_NAC_rh,3
104,RH-EXA,CIT168Subcortical,CIT168Subcortical_EXA_rh,4
105,RH-GPe,CIT168Subcortical,CIT168Subcortical_GPe_rh,5
106,RH-GPi,CIT168Subcortical,CIT168Subcortical_GPi_rh,6
107,RH-SNc_PBP_VTA,CIT168Subcortical,CIT168Subcortical_SNc_CIT168Subcortical_PBP_CIT168Subcortical_VTA_rh,7
108,RH-RN,CIT168Subcortical,CIT168Subcortical_RN_rh,8
109,RH-SNr,CIT168Subcortical,CIT168Subcortical_SNr_rh,9
112,RH-VeP,CIT168Subcortical,CIT168Subcortical_VeP_rh,10
113,RH-HN,CIT168Subcortical,CIT168Subcortical_HN_rh,11
114,RH-HTH,CIT168Subcortical,CIT168Subcortical_HTH_rh,12
115,RH-MN,CIT168Subcortical,CIT168Subcortical_MN_rh,13
116,RH-STH,CIT168Subcortical,CIT168Subcortical_STH_rh,14
1,LH-Pu,CIT168Subcortical,CIT168Subcortical_Pu_lh,15
2,LH-Ca,CIT168Subcortical,CIT168Subcortical_Ca_lh,16
3,LH-NAC,CIT168Subcortical,CIT168Subcortical_NAC_lh,17
4,LH-EXA,CIT168Subcortical,CIT168Subcortical_EXA_lh,18
5,LH-GPe,CIT168Subcortical,CIT168Subcortical_GPe_lh,19
6,LH-GPi,CIT168Subcortical,CIT168Subcortical_GPi_lh,20
7,LH-SNc_PBP_VTA,CIT168Subcortical,CIT168Subcortical_SNc_CIT168Subcortical_PBP_CIT168Subcortical_VTA_lh,21
8,LH-RN,CIT168Subcortical,CIT168Subcortical_RN_lh,22
9,LH-SNr,CIT168Subcortical,CIT168Subcortical_SNr_lh,23
12,LH-VeP,CIT168Subcortical,CIT168Subcortical_VeP_lh,24
13,LH-HN,CIT168Subcortical,CIT168Subcortical_HN_lh,25
14,LH-HTH,CIT168Subcortical,CIT168Subcortical_HTH_lh,26
15,LH-MN,CIT168Subcortical,CIT168Subcortical_MN_lh,27
16,LH-STH,CIT168Subcortical,CIT168Subcortical_STH_lh,28
117,LH-Pulvinar,ThalamusHCP,Thalamus_LH_Pulvinar,29
118,LH-Anterior,ThalamusHCP,Thalamus_LH_Anterior,30
119,LH-Medio_Dorsal,ThalamusHCP,Thalamus_LH_Medio_Dorsal,31
120,LH-Ventral_Latero_Dorsal,ThalamusHCP,Thalamus_LH_Ventral_Latero_Dorsal,32
121,LH-Central_Lateral-Lateral_Posterior-Medial_Pulvinar,ThalamusHCP,Thalamus_LH_Central_Lateral_Lateral_Posterior_Medial_Pulvinar,33
122,LH-Ventral_Anterior,ThalamusHCP,Thalamus_LH_Ventral_Anterior,34
123,LH-Ventral_Latero_Ventral,ThalamusHCP,Thalamus_LH_Ventral_Latero_Ventral,35
124,RH-Pulvinar,ThalamusHCP,Thalamus_RH_Pulvinar,36
125,RH-Anterior,ThalamusHCP,Thalamus_RH_Anterior,37
126,RH-Medio_Dorsal,ThalamusHCP,Thalamus_RH_Medio_Dorsal,38
127,RH-Ventral_Latero_Dorsal,ThalamusHCP,Thalamus_RH_Ventral_Latero_Dorsal,39
128,RH-Central_Lateral-Lateral_Posterior-Medial_Pulvinar,ThalamusHCP,Thalamus_RH_Central_Lateral_Lateral_Posterior_Medial_Pulvinar,40
129,RH-Ventral_Anterior,ThalamusHCP,Thalamus_RH_Ventral_Anterior,41
130,RH-Ventral_Latero_Ventral,ThalamusHCP,Thalamus_RH_Ventral_Latero_Ventral,42
131,Cerebellar_Region1,Cerebellum,Cerebellum_Region1,43
132,Cerebellar_Region2,Cerebellum,Cerebellum_Region2,44
133,Cerebellar_Region3,Cerebellum,Cerebellum_Region3,45
134,Cerebellar_Region4,Cerebellum,Cerebellum_Region4,46
135,Cerebellar_Region5,Cerebellum,Cerebellum_Region5,47
136,Cerebellar_Region6,Cerebellum,Cerebellum_Region6,48
137,Cerebellar_Region7,Cerebellum,Cerebellum_Region7,49
138,Cerebellar_Region8,Cerebellum,Cerebellum_Region8,50
139,Cerebellar_Region9,Cerebellum,Cerebellum_Region9,51
140,Cerebellar_Region10,Cerebellum,Cerebellum_Region10,52
