"table_name","var_name","var_label","notes","condition","table_name_nda"
"mh_p_ksads_ss","ksads_import_id_p","Unique ID provided by KSADS for dataset",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_843_p","Diagnosis - Persistent Depressive Disorder (Dysthymia) PRESENT F34.1",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_845_p","Diagnosis - Persistent Depressive Disorder (Dysthymia) PAST F34.1",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_844_p","Diagnosis - Persistent Depressive Disorder (Dysthymia) In Partial Remission F34.1",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_840_p","Diagnosis - Major Depressive Disorder Present",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_841_p","Diagnosis - Major Depressive Disorder Current in Partial Remission (F32.4)",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_842_p","Diagnosis - Major Depressive Disorder Past (F32.9)",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_847_p","Diagnosis - Unspecified Depressive Disorder PAST (F32.9)",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_846_p","Diagnosis - Unspecified Depressive Disorder Current (F32.9)",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_172_p","Symptom - Weight Gain Past",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_168_p","Symptom - Weight Loss Past",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_171_p","Symptom - Weight Gain Present",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_167_p","Symptom - Weight Loss Present",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_3_p","Symptom - Irritability Present",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_4_p","Symptom - Irritability Past",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_156_p","Symptom - Insomnia when depressed Past",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_163_p","Symptom - Indecision Present",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_164_p","Symptom - Indecision Past",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_170_p","Symptom - Increased Appetite Past",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_169_p","Symptom - Increased Appetite Present",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_188_p","Symptom - No two month symptom-free interval Past",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_187_p","Symptom - No two month symptom-free interval Present",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_175_p","Symptom - Psychomotor Retardation Present",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_176_p","Symptom - Psychomotor Retardation Past",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_173_p","Symptom - Psychomotor Agitation in Depressive Disorder Present",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_174_p","Symptom - Psychomotor Agitation in Depressive Disorder Past",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_185_p","Symptom - Presence of two or more depressive symptoms Present",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_186_p","Symptom - Presence of two or more depressive symptoms Past",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_166_p","Symptom - Decreased Appetite Past",,,"abcd_ksad01"
"mh_p_ksads_ss","ksads_1_181_p","Symptom - Decreased Self-Esteem Present",,,"abcd_ksad01"
