"table_name","var_name","var_label","notes","condition","table_name_nda"
"mh_y_ksads_ss","ksads_import_id_t","Unique ID provided by KSADS for dataset",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_1_1_t","Symptom - Depressed Mood, Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_1_2_t","Symptom - Depressed Mood, Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_1_3_t","Symptom - Irritability, Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_1_4_t","Symptom - Irritability, Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_1_5_t","Symptom - Anhedonia, Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_1_6_t","Symptom - Anhedonia, Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_2_7_t","Symptom - Elevated Mood, Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_2_8_t","Symptom - Elevated Mood, Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_2_9_t","Symptom - Explosive Irritability, Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_2_10_t","Symptom - ExplosiveIrritability, PresentNext",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_2_11_t","Symptom - Explosive Irritability, Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_2_12_t","Symptom - Decreased Need for Sleep, Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_2_13_t","Symptom - Decreased Need for Sleep, Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_2_14_t","Symptom - Hypersexuality, Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_2_15_t","Symptom - Hypersexuality, Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_4_16_t","Symptom - Hallucinations, Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_4_17_t","Symptom - Hallucinations, Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_4_18_t","Symptom - Persecutory Delusions, Past two weeks, Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_4_19_t","Symptom - Persecutory Delusions, Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_5_20_t","Symptom - Panic Attacks, Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_5_21_t","Symptom - Panic Attacks, Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_6_22_t","Symptom - Agoraphobic of at least 2 situations, Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_6_23_t","Symptom - Agoraphobic of at least 2 situations, Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_7_24_t","Symptom - Distress upon separation from home/attachment figures, Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_7_25_t","Symptom - Distress upon separation from home/attachment figures, Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_7_26_t","Symptom - School Reluctance/Refusal, Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_7_27_t","Symptom - School Reluctance/Refusal, Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_8_29_t","Symptom - Fear of Social Situations Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_8_30_t","Symptom - Duration (at least 6 months) Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_25_32_t","Symptom - Failure to speak in social situations Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_9_34_t","Symptom - Marked fear of phobic object Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_9_35_t","Symptom - Marked fear of phobic object Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_9_36_t","Symptom - PhobicObjectSpecialCase Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_9_37_t","Symptom - Active avoidance of phobic object Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_9_38_t","Symptom - Active avoidance of phobic object Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_9_39_t","Symptom - Impairment due to fear or avoidance of phobic object Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_9_40_t","Symptom - Impairment due to fear or avoidance of phobic object Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_9_41_t","Symptom - Distress due to fear or avoidance of phobic object Present",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_9_42_t","Symptom - Distress due to fear or avoidance of phobic object Past",,,"abcd_ksad501"
"mh_y_ksads_ss","ksads_9_43_t","Symptom - Duration of phobia at least 6 months Present",,,"abcd_ksad501"
