sub_id,mat_path,schaefer400,schaefer200,mean_fd
sub-NDARINV00LJVZK2_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV00LJVZK2_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-343.264734424527,-177.31343847584,0.5544267374
sub-NDARINV030X9ZNH_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV030X9ZNH_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-332.974204108116,-170.697369908061,0.249413272
sub-NDARINV04JY6730_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV04JY6730_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-336.913266192083,-169.778883016552,0.4140344132
sub-NDARINV08J0E48V_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV08J0E48V_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-313.507658918205,-162.90372974655,0.3870011893
sub-NDARINV08K0R9C4_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV08K0R9C4_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-330.95425397784,-167.706217565084,0.438585107
sub-NDARINV0C7TZ6YW_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV0C7TZ6YW_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-342.818089251613,-181.422924288042,0.9127107672
sub-NDARINV0CKA3YZX_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV0CKA3YZX_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-316.581459648351,-167.982013596715,0.507733412
sub-NDARINV0GZN1747_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV0GZN1747_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-324.947600363933,-171.193394790279,0.4219249585
sub-NDARINV0JRNB4U4_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV0JRNB4U4_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-347.453680456667,-178.00292899986,0.8437460442
sub-NDARINV0WELU60J_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV0WELU60J_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-340.213777800382,-182.03292384907,0.29000809
