sub_id,mat_path,schaefer400,schaefer200,mean_fd
sub-NDARINV00LJVZK2_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV00LJVZK2_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-337.555145184488,-176.504115447189,0.8674960525
sub-NDARINV04CLBZAD_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV04CLBZAD_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-337.534523390989,-179.350691495661,0.4193935963
sub-NDARINV04JY6730_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV04JY6730_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-345.976385652496,-175.721368923399,0.2976355825
sub-NDARINV06A9DLE9_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV06A9DLE9_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-327.915228860894,-171.989625679054,0.3294377984
sub-NDARINV08J0E48V_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV08J0E48V_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-318.225987650834,-166.214559754206,0.3853441702
sub-NDARINV08K0R9C4_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV08K0R9C4_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-357.942076485041,-184.084078473125,0.4857126853
sub-NDARINV0CKA3YZX_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV0CKA3YZX_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-324.088510447033,-170.406341214722,0.4281607341
sub-NDARINV0DWBRWHT_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV0DWBRWHT_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-346.000521208424,-177.981726100579,0.3473113925
sub-NDARINV0JRNB4U4_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV0JRNB4U4_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-346.680894471077,-179.387060290817,0.3375521305
sub-NDARINV0K37T6VD_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV0K37T6VD_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-344.832915940958,-181.2847305002,0.5618046842
