study,domain,sub_domain,source,table_label,table_name,table_name_nda,var_name_nda,type,metric,atlas,var_name,var_label,notes,condition,id
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_3rd.ventricle,Float,Emotional N-Back,Subcortical,tfmri_nback_all_130,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI 3rd-ventricle,,,60131
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_4th.ventricle,Float,Emotional N-Back,Subcortical,tfmri_nback_all_131,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI 4th-ventricle,,,60132
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_accumbens.area.lh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_136,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI left-accumbens-area,,,60133
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_accumbens.area.rh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_149,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI right-accumbens-area,,,60134
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_amygdala.lh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_134,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI left-amygdala,,,60135
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_amygdala.rh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_148,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI right-amygdala,,,60136
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_brain.stem,Float,Emotional N-Back,Subcortical,tfmri_nback_all_132,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI brain-stem,,,60137
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_caudate.lh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_127,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI left-caudate,,,60138
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_caudate.rh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_144,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI right-caudate,,,60139
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_cerebellum.cortex.lh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_125,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI left-cerebellum-cortex,,,60140
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_cerebellum.cortex.rh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_142,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI right-cerebellum-cortex,,,60141
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_cerebellum.white.matter.lh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_124,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI left-cerebellum-white-matter,,,60142
