study,domain,sub_domain,source,table_label,table_name,table_name_nda,var_name_nda,type,metric,atlas,var_name,var_label,notes,condition,id
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_bankssts.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_543,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-bankssts,,,59915
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_bankssts.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_577,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-bankssts,,,59916
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_caudalanteriorcingulate.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_544,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-caudalanteriorcingulate,,,59917
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_caudalanteriorcingulate.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_578,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-caudalanteriorcingulate,,,59918
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_caudalmiddlefrontal.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_545,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-caudalmiddlefrontal,,,59919
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_caudalmiddlefrontal.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_579,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-caudalmiddlefrontal,,,59920
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_cuneus.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_546,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-cuneus,,,59921
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_cuneus.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_580,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-cuneus,,,59922
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_entorhinal.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_547,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-entorhinal,,,59923
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_entorhinal.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_581,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-entorhinal,,,59924
