study,domain,sub_domain,source,table_label,table_name,table_name_nda,var_name_nda,type,metric,atlas,var_name,var_label,notes,condition,id
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.and.s.cingul.ant.lh,Float,Emotional N-Back,Destrieux,tfabwdp_598,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere anterior part of the cingulate gyrus and sulcus,,,59983
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.and.s.cingul.ant.rh,Float,Emotional N-Back,Destrieux,tfabwdp_672,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere anterior part of the cingulate gyrus and sulcus,,,59984
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.and.s.cingul.mid.ant.lh,Float,Emotional N-Back,Destrieux,tfabwdp_599,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere middle-anterior part of the cingulate gyrus and sulcus,,,59985
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.and.s.cingul.mid.ant.rh,Float,Emotional N-Back,Destrieux,tfabwdp_673,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere middle-anterior part of the cingulate gyrus and sulcus,,,59986
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.and.s.cingul.mid.post.lh,Float,Emotional N-Back,Destrieux,tfabwdp_600,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere middle-posterior part of the cingulate gyrus and sulcus,,,59987
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.and.s.cingul.mid.post.rh,Float,Emotional N-Back,Destrieux,tfabwdp_674,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere middle-posterior part of the cingulate gyrus and sulcus,,,59988
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.and.s.frontomargin.lh,Float,Emotional N-Back,Destrieux,tfabwdp_593,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere fronto-marginal gyrus and sulcus,,,59989
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.and.s.frontomargin.rh,Float,Emotional N-Back,Destrieux,tfabwdp_667,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere fronto-marginal gyrus and sulcus,,,59990
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.and.s.occipital.inf.lh,Float,Emotional N-Back,Destrieux,tfabwdp_594,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere inferior occipital gyrus and sulcus,,,59991
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.and.s.occipital.inf.rh,Float,Emotional N-Back,Destrieux,tfabwdp_668,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere inferior occipital gyrus and sulcus,,,59992
