ROI_Label,t,p,p_fdr,Cohens_d
LH_Vis_1,-0.530829964,0.595631804,0.916752853,-0.030124832
LH_Vis_2,-0.021057494,0.98320323,0.99563529,-0.001195022
LH_Vis_3,-0.848445588,0.396353802,0.882929506,-0.048149657
LH_Vis_4,-0.65729788,0.511111408,0.896638429,-0.037301941
LH_Vis_5,2.970556362,0.003029918,0.374588952,0.168580367
LH_Vis_6,-0.103499583,0.917583231,0.989851123,-0.005873646
LH_Vis_7,1.804621289,0.071377054,0.701357136,0.102413044
LH_Vis_8,-0.837007977,0.402750159,0.882929506,-0.047500567
LH_Vis_9,1.262954641,0.206844467,0.874919483,0.071673226
LH_Vis_10,2.092705624,0.036578312,0.701357136,0.118761955
LH_Vis_11,2.173250404,0.029950989,0.701357136,0.123332907
LH_Vis_12,0.480756148,0.63077464,0.916752853,0.027283121
LH_Vis_13,-0.66211236,0.508022246,0.896638429,-0.037575165
LH_Vis_14,-0.731023203,0.464903513,0.896638429,-0.041485885
LH_Vis_15,-0.241269687,0.809385998,0.947778422,-0.01369216
LH_Vis_16,-0.118894671,0.905378082,0.981369048,-0.006747324
LH_Vis_17,1.00872835,0.313301771,0.882929506,0.057245773
LH_Vis_18,0.426375125,0.669908635,0.931688316,0.024196974
LH_Vis_19,-1.202418427,0.229437147,0.874919483,-0.068237769
LH_Vis_20,0.322065693,0.747457545,0.94208759,0.018277368
LH_Vis_21,1.525682342,0.127344999,0.743191414,0.086583137
LH_Vis_22,0.687555669,0.491861407,0.896638429,0.039019084
LH_Vis_23,-0.271926752,0.785723609,0.944540083,-0.015431962
LH_Vis_24,-0.20764183,0.835542877,0.954363974,-0.011783764
LH_Vis_25,0.174269964,0.861681765,0.964679389,0.009889896
LH_Vis_26,-0.044952412,0.964152489,0.994623206,-0.002551069
LH_Vis_27,1.519575963,0.128880756,0.743191414,0.086236597
LH_Vis_28,1.518908739,0.129047539,0.743191414,0.086198732
LH_Vis_29,-0.017710005,0.985873053,0.99563529,-0.00100505
LH_Vis_30,0.326538242,0.744072302,0.94208759,0.018531187
LH_Vis_31,-0.797192132,0.425492171,0.894523075,-0.045241001
LH_SomMot_1,0.232846327,0.815919193,0.949688921,0.01321413
LH_SomMot_2,1.591054422,0.111852622,0.743191414,0.090293031
LH_SomMot_3,-1.014830638,0.310386518,0.882929506,-0.057592081
LH_SomMot_4,1.889160142,0.059103538,0.701357136,0.107210661
LH_SomMot_5,-0.806126125,0.42032479,0.89358367,-0.045748009
LH_SomMot_6,0.839399024,0.401407272,0.882929506,0.04763626
LH_SomMot_7,-0.518643406,0.604101972,0.916752853,-0.029433239
LH_SomMot_8,0.385040198,0.700273688,0.94208759,0.021851199
LH_SomMot_9,2.216573831,0.026833731,0.701357136,0.12579153
LH_SomMot_10,-1.061136586,0.288834639,0.882929506,-0.060219963
LH_SomMot_11,-1.340085281,0.180463754,0.819936195,-0.076050423
LH_SomMot_12,0.150187536,0.880641157,0.975612262,0.008523208
LH_SomMot_13,-0.609120017,0.542556506,0.898298683,-0.034567826
LH_SomMot_14,-0.042613159,0.966016787,0.994623206,-0.002418315
LH_SomMot_15,0.292401796,0.770028492,0.94208759,0.016593929
LH_SomMot_16,1.694462481,0.090431198,0.743191414,0.096161484
LH_SomMot_17,1.447645672,0.147969527,0.743191414,0.082154522
LH_SomMot_18,-0.820228875,0.412243342,0.887752802,-0.046548346
LH_SomMot_19,-0.921413888,0.357014457,0.882929506,-0.052290639
LH_SomMot_20,-0.602267322,0.547106321,0.902525756,-0.034178933
LH_SomMot_21,-0.747931644,0.454643912,0.896638429,-0.042445446
LH_SomMot_22,0.283442407,0.776885235,0.94208759,0.01608548
LH_SomMot_23,1.069268853,0.285157424,0.882929506,0.060681473
LH_SomMot_24,1.202993343,0.229209515,0.874919483,0.068270396
LH_SomMot_25,-1.009145905,0.313101798,0.882929506,-0.057269469
LH_SomMot_26,0.89127734,0.372953354,0.882929506,0.050580377
LH_SomMot_27,-0.331234482,0.740523393,0.94208759,-0.018797701
LH_SomMot_28,-0.531044491,0.595483221,0.916752853,-0.030137006
LH_SomMot_29,1.465715563,0.142982218,0.743191414,0.083179996
LH_SomMot_30,-1.043773783,0.296794234,0.882929506,-0.059234617
LH_SomMot_31,-0.127254275,0.898759818,0.981369048,-0.007221736
LH_SomMot_32,0.392211245,0.694969551,0.94208759,0.022258159
LH_SomMot_33,0.30614229,0.759547751,0.94208759,0.017373708
LH_SomMot_34,-0.355585307,0.722211816,0.94208759,-0.020179621
LH_SomMot_35,-0.257607315,0.796752748,0.94507165,-0.014619327
LH_SomMot_36,0.488335726,0.625398485,0.916752853,0.027713265
LH_SomMot_37,-0.217994537,0.827469242,0.954363974,-0.012371285
LH_DorsAttn_Post_1,-0.440127742,0.659922247,0.926350483,-0.024977441
LH_DorsAttn_Post_2,-0.804984797,0.420983837,0.89358367,-0.045683238
LH_DorsAttn_Post_3,0.071812698,0.942762548,0.992919209,0.004075402
LH_DorsAttn_Post_4,-0.486717031,0.626546844,0.916752853,-0.027621403
LH_DorsAttn_Post_5,1.211987312,0.225748993,0.874919483,0.068780808
LH_DorsAttn_Post_6,0.938221297,0.348314208,0.882929506,0.053244467
LH_DorsAttn_Post_7,0.501894347,0.61583212,0.916752853,0.028482723
LH_DorsAttn_Post_8,-0.958722124,0.337896542,0.882929506,-0.054407898
LH_DorsAttn_Post_9,-0.729083669,0.466088195,0.896638429,-0.041375816
LH_DorsAttn_Post_10,1.185237618,0.236150834,0.874919483,0.067262751
LH_DorsAttn_Post_11,-0.402209933,0.687598852,0.941802064,-0.022825589
LH_DorsAttn_Post_12,-0.880467203,0.3787771,0.882929506,-0.049966897
LH_DorsAttn_Post_13,0.517474684,0.604917144,0.916752853,0.029366914
LH_DorsAttn_Post_14,0.555894219,0.578384113,0.91588861,0.031547239
LH_DorsAttn_Post_15,-1.075544814,0.282340242,0.882929506,-0.061037636
LH_DorsAttn_Post_16,1.605293344,0.108691377,0.743191414,0.091101096
LH_DorsAttn_Post_17,1.653815372,0.098418257,0.743191414,0.093854742
LH_DorsAttn_FEF_1,0.91423523,0.360771649,0.882929506,0.051883247
LH_DorsAttn_FEF_2,0.021534664,0.982822621,0.99563529,0.001222102
LH_DorsAttn_FEF_3,0.894680409,0.371131796,0.882929506,0.050773503
