ROI_Label,t,p,p_fdr,Cohens_d
LH_Vis_1,-1.34299294,0.179812613,0.284100612,-0.112503568
LH_Vis_2,-0.869404541,0.384996981,0.510318579,-0.072830698
LH_Vis_3,-2.732684104,0.00648758,0.017664976,-0.228919083
LH_Vis_4,0.244660279,0.806807887,0.874525575,0.020495383
LH_Vis_5,0.779646742,0.435923988,0.561360806,0.065311617
LH_Vis_6,-2.189958937,0.028937193,0.064431583,-0.183454572
LH_Vis_7,-0.971044686,0.331939498,0.461651241,-0.081345172
LH_Vis_8,-0.765751246,0.44415856,0.567117709,-0.06414758
LH_Vis_9,0.802784813,0.422436239,0.545546229,0.067249911
LH_Vis_10,1.766411102,0.077864081,0.141343634,0.147973639
LH_Vis_11,1.217274567,0.224006455,0.338631831,0.101972042
LH_Vis_12,2.494465791,0.012898297,0.032938024,0.208963349
LH_Vis_13,0.267848021,0.788913557,0.868500648,0.022437838
LH_Vis_14,-0.221573874,0.824725277,0.891808195,-0.018561417
LH_Vis_15,-3.148789206,0.001729116,0.006156758,-0.263776533
LH_Vis_16,0.56113627,0.574930928,0.689307108,0.047006824
LH_Vis_17,-0.804789846,0.421284679,0.545546229,-0.067417874
LH_Vis_18,-0.976325658,0.329320833,0.459422891,-0.081787564
LH_Vis_19,2.457821018,0.014275946,0.036048757,0.205893588
LH_Vis_20,-0.174722508,0.861360599,0.907540771,-0.014636641
LH_Vis_21,0.407454695,0.683828375,0.782621659,0.034132798
LH_Vis_22,2.548567131,0.011083555,0.02895819,0.213495461
LH_Vis_23,-0.092997406,0.925939419,0.957722237,-0.007790465
LH_Vis_24,-2.998799489,0.002829406,0.009334976,-0.251211777
LH_Vis_25,-0.337358615,0.735974035,0.827513094,-0.028260795
LH_Vis_26,-0.934901701,0.35023878,0.478970406,-0.078317446
LH_Vis_27,4.108327001,4.59E-05,0.000334367,0.344157764
LH_Vis_28,-0.348057911,0.727927593,0.820506912,-0.029157083
LH_Vis_29,1.345242701,0.179083757,0.284020555,0.112692033
LH_Vis_30,-0.102733975,0.918210377,0.954094461,-0.008606105
LH_Vis_31,1.805678813,0.071504954,0.132593546,0.151263126
LH_SomMot_1,0.76051427,0.447263002,0.56787325,0.063708875
LH_SomMot_2,-0.588831778,0.556208256,0.673947745,-0.049326898
LH_SomMot_3,2.572941615,0.010338567,0.027168792,0.21553733
LH_SomMot_4,-2.343385621,0.019454307,0.047023245,-0.196307245
LH_SomMot_5,1.897584741,0.05826594,0.110516093,0.158962157
LH_SomMot_6,2.739314694,0.006350362,0.017609592,0.229474533
LH_SomMot_7,-0.201319706,0.840520812,0.899359296,-0.016864709
LH_SomMot_8,-1.328793461,0.18445177,0.288478961,-0.111314067
LH_SomMot_9,-1.30390136,0.192802027,0.298446973,-0.109228836
LH_SomMot_10,-3.386225016,0.000757736,0.003132582,-0.283666716
LH_SomMot_11,-3.532026384,0.000446089,0.002023387,-0.295880611
LH_SomMot_12,-3.804661013,0.000157448,0.00086369,-0.318719427
LH_SomMot_13,-1.241746132,0.214842883,0.326966273,-0.104022044
LH_SomMot_14,-3.684103673,0.000251508,0.001291839,-0.308620244
LH_SomMot_15,1.426358724,0.154318533,0.250007086,0.119487185
LH_SomMot_16,-1.801730876,0.07212038,0.133054741,-0.150932404
LH_SomMot_17,-0.935583511,0.349885473,0.478970406,-0.078374562
LH_SomMot_18,-4.168638621,3.54E-05,0.000296652,-0.349210116
LH_SomMot_19,0.838862053,0.401900372,0.529617983,0.07027213
LH_SomMot_20,-0.209624619,0.834035879,0.89758147,-0.017560418
LH_SomMot_21,2.282609286,0.022822133,0.052900534,0.191215964
LH_SomMot_22,0.166302965,0.867978591,0.912386798,0.013931329
LH_SomMot_23,-2.513699738,0.012230179,0.031409324,-0.210574592
LH_SomMot_24,-4.711697785,3.10E-06,4.87E-05,-0.394702606
LH_SomMot_25,-0.640310527,0.522232439,0.642976541,-0.053639313
LH_SomMot_26,-3.893737165,0.000110585,0.000640825,-0.326181406
LH_SomMot_27,2.934373566,0.003477589,0.011227645,0.245814767
LH_SomMot_28,-0.883188026,0.377513936,0.501886836,-0.073985351
LH_SomMot_29,1.727151596,0.084684407,0.152499409,0.144684839
LH_SomMot_30,-2.110544505,0.03525366,0.074522636,-0.176801963
LH_SomMot_31,-1.086060241,0.277915677,0.405183619,-0.090980115
LH_SomMot_32,-4.042195645,6.03E-05,0.000412838,-0.338617889
LH_SomMot_33,-4.25223136,2.48E-05,0.000223779,-0.356212745
LH_SomMot_34,0.026116422,0.979173654,0.985351745,0.002187793
LH_SomMot_35,-4.75721234,2.49E-06,4.33E-05,-0.398515396
LH_SomMot_36,-2.068230132,0.039072573,0.079516539,-0.173257255
LH_SomMot_37,-3.608574779,0.000335286,0.001595254,-0.30229313
LH_DorsAttn_Post_1,1.560163978,0.119278625,0.200423563,0.130696156
LH_DorsAttn_Post_2,1.812028252,0.070510367,0.13169705,0.151795023
LH_DorsAttn_Post_3,1.977267361,0.048497072,0.095723477,0.165637232
LH_DorsAttn_Post_4,-2.094119789,0.036727666,0.076568551,-0.175426052
LH_DorsAttn_Post_5,-1.552180915,0.121222707,0.202935792,-0.130027409
LH_DorsAttn_Post_6,0.910714584,0.362838659,0.489561415,0.076291273
LH_DorsAttn_Post_7,-3.946032107,8.95E-05,0.000546156,-0.330562194
LH_DorsAttn_Post_8,0.18709645,0.851657799,0.903636914,0.015673216
LH_DorsAttn_Post_9,2.832266181,0.00478656,0.014233717,0.237261152
LH_DorsAttn_Post_10,-2.778219054,0.005646654,0.016466372,-0.232733582
LH_DorsAttn_Post_11,-2.90867005,0.003776594,0.011937207,-0.243661564
LH_DorsAttn_Post_12,-6.309012398,5.66E-10,6.40E-08,-0.5285109
LH_DorsAttn_Post_13,-6.060320734,2.53E-09,1.90E-07,-0.507677805
LH_DorsAttn_Post_14,-3.001139314,0.002807902,0.009334976,-0.251407786
LH_DorsAttn_Post_15,-5.665709821,2.35E-08,1.06E-06,-0.47462094
LH_DorsAttn_Post_16,4.77648662,2.28E-06,4.12E-05,0.400130018
LH_DorsAttn_Post_17,-1.572180277,0.116479597,0.197927737,-0.131702771
LH_DorsAttn_FEF_1,1.32686727,0.185086059,0.288478961,0.111152708
LH_DorsAttn_FEF_2,-1.328911615,0.184411114,0.288478961,-0.111323965
LH_DorsAttn_FEF_3,-4.51523766,7.73E-06,0.00010582,-0.378244988
LH_DorsAttn_FEF_4,1.031912595,0.302552362,0.43004298,0.086444125
LH_DorsAttn_PrCv_1,2.223785983,0.026557494,0.060019936,0.18628829
LH_DorsAttn_PrCv_2,4.408700328,1.25E-05,0.000148156,0.369320273
LH_SalVentAttn_ParOper_1,-0.035683039,0.971547677,0.982415101,-0.002989196
LH_SalVentAttn_ParOper_2,2.111650046,0.035152579,0.074522636,0.176894575
LH_SalVentAttn_ParOper_3,-1.270204723,0.204532337,0.31338514,-0.106406042
LH_SalVentAttn_ParOper_4,-0.305739715,0.7599181,0.846017195,-0.025612055
LH_SalVentAttn_TempOcc_1,-2.368243592,0.018207164,0.044667504,-0.198389617
LH_SalVentAttn_FrOper_1,3.632639559,0.000305992,0.00151987,0.304309055
LH_SalVentAttn_FrOper_2,0.196214039,0.84451293,0.900282652,0.016437003
LH_SalVentAttn_FrOper_3,0.37815132,0.705459602,0.801175227,0.031678032
LH_SalVentAttn_FrOper_4,1.221745885,0.222312141,0.337198281,0.102346608
LH_SalVentAttn_FrOper_5,-4.345514384,1.65E-05,0.000181376,-0.364027137
LH_SalVentAttn_FrOper_6,0.145444648,0.884411801,0.923219709,0.012184012
LH_SalVentAttn_FrOper_7,1.603819075,0.109309811,0.190030903,0.134353178
LH_SalVentAttn_FrOper_8,-4.045178157,5.95E-05,0.000412838,-0.338867736
LH_SalVentAttn_FrOper_9,5.37376339,1.13E-07,4.25E-06,0.45016436
LH_SalVentAttn_PFCl_1,-1.506219398,0.132566987,0.21789192,-0.126177176
LH_SalVentAttn_Med_1,-0.02161708,0.982761016,0.985351745,-0.00181088
LH_SalVentAttn_Med_2,-3.919349088,9.97E-05,0.00059277,-0.328326937
LH_SalVentAttn_Med_3,-1.866407429,0.062521608,0.117566169,-0.156350409
LH_SalVentAttn_Med_4,0.057583165,0.954101103,0.9712456,0.004823787
LH_SalVentAttn_Med_5,-2.795301147,0.005367666,0.015857418,-0.234164562
LH_SalVentAttn_Med_6,1.420618143,0.155977285,0.251791903,0.119006292
LH_SalVentAttn_Med_7,0.514050426,0.60741679,0.716846969,0.043062406
LH_Limbic_OFC_1,-2.0903811,0.037035516,0.076568551,-0.175112859
LH_Limbic_OFC_2,4.253895275,2.47E-05,0.000223779,0.356352132
LH_Limbic_OFC_3,-0.532059457,0.594892869,0.709476456,-0.044571037
LH_Limbic_OFC_4,4.704402813,3.26E-06,4.87E-05,0.394091501
LH_Limbic_OFC_5,0.949632072,0.342704075,0.472262933,0.079551421
LH_Limbic_TempPole_1,-0.067883409,0.945902349,0.965119326,-0.005686646
LH_Limbic_TempPole_2,-0.15907172,0.873668958,0.916237515,-0.013325562
LH_Limbic_TempPole_3,0.71867701,0.472635497,0.595073105,0.060204135
LH_Limbic_TempPole_4,3.029365727,0.002562146,0.008707444,0.253772335
LH_Limbic_TempPole_5,2.911971559,0.003736651,0.01189413,0.243938134
LH_Limbic_TempPole_6,4.129883852,4.18E-05,0.000320446,0.345963598
LH_Limbic_TempPole_7,3.621902089,0.000318837,0.001552274,0.303409569
LH_Limbic_TempPole_8,0.255381385,0.798521554,0.870177204,0.021393498
LH_Cont_Par_1,-1.475949327,0.140519241,0.230125714,-0.123641429
LH_Cont_Par_2,-0.407320802,0.68392822,0.782621659,-0.034121582
LH_Cont_Par_3,-1.406366083,0.160163121,0.256715357,-0.117812386
LH_Cont_Par_4,-2.059485532,0.039902963,0.080518479,-0.172524713
LH_Cont_Par_5,-3.013847552,0.00269477,0.009089821,-0.252472365
LH_Cont_Par_6,-2.734223094,0.006447858,0.017664976,-0.229048006
LH_Cont_Temp_1,-4.881458323,1.38E-06,2.84E-05,-0.408923579
LH_Cont_PFCl_1,-2.380970331,0.017606948,0.043544547,-0.199455746
LH_Cont_PFCl_2,-3.657979588,0.000277961,0.001411668,-0.306431809
LH_Cont_PFCl_3,0.178570511,0.858338793,0.90646994,0.014958991
LH_Cont_PFCl_4,-0.054942023,0.956204186,0.9712456,-0.004602536
LH_Cont_PFCl_5,0.081048889,0.935431672,0.963298767,0.006789529
LH_Cont_PFCl_6,-1.295415113,0.195720662,0.301930851,-0.108517937
LH_Cont_PFCl_7,2.864099384,0.004336964,0.013245322,0.239927844
LH_Cont_PFCl_8,-2.128803721,0.033704033,0.072891019,-0.178331552
